fecha_compra,id_producto,total_transacciones
2025-01-14,P011,1
2025-01-16,P011,1
2025-01-16,P085,1
2025-01-21,P003,1
2025-01-25,P085,1
2025-01-26,P044,1
2025-01-30,P003,1
2025-01-30,P024,1
2025-01-31,P025,1
2025-02-01,P044,1
2025-02-01,P085,1
2025-02-02,P024,1
2025-02-03,P025,2
2025-02-07,P025,1
2025-02-07,P038,1
2025-02-07,P085,2
2025-02-08,P011,1
2025-02-09,P071,1
2025-02-09,P085,1
2025-02-12,P033,2
2025-02-13,P025,1
2025-02-14,P078,1
2025-02-15,P038,1
2025-02-16,P024,1
2025-02-17,P033,1
2025-02-17,P071,1
2025-02-18,P044,1
2025-02-18,P085,1
2025-02-19,P066,1
2025-02-19,P078,1
2025-02-19,P084,1
2025-02-21,P011,1
2025-02-21,P025,1
2025-02-22,P038,1
2025-02-23,P024,2
2025-02-23,P033,1
2025-02-23,P086,1
2025-02-26,P084,1
2025-02-27,P078,1
2025-02-27,P084,1
2025-02-28,P024,1
2025-03-01,P078,1
2025-03-03,P078,1
2025-03-04,P024,1
2025-03-04,P025,1
2025-03-04,P044,1
2025-03-04,P066,1
2025-03-05,P003,1
2025-03-05,P011,1
2025-03-05,P024,1
2025-03-05,P038,1
2025-03-05,P058,1
2025-03-06,P038,1
2025-03-06,P066,1
2025-03-06,P071,1
2025-03-06,P085,1
2025-03-08,P025,1
2025-03-08,P044,1
2025-03-09,P086,1
2025-03-10,P011,1
2025-03-10,P024,1
2025-03-10,P086,1
2025-03-12,P066,1
2025-03-14,P024,1
2025-03-14,P033,1
2025-03-14,P066,1
2025-03-14,P086,1
2025-03-15,P011,1
2025-03-16,P011,1
2025-03-16,P056,1
2025-03-16,P085,1
2025-03-17,P011,1
2025-03-17,P038,1
2025-03-17,P044,1
2025-03-17,P087,1
2025-03-18,P024,1
2025-03-19,P038,1
2025-03-19,P044,1
2025-03-19,P056,1
2025-03-19,P057,1
2025-03-20,P024,1
2025-03-20,P025,1
2025-03-20,P055,1
2025-03-20,P058,1
2025-03-20,P085,1
2025-03-20,P087,1
2025-03-21,P003,1
2025-03-21,P033,1
2025-03-21,P044,1
2025-03-22,P066,1
2025-03-22,P085,1
2025-03-23,P044,1
2025-03-23,P058,1
2025-03-24,P003,1
2025-03-24,P024,1
2025-03-24,P025,1
2025-03-24,P044,1
2025-03-24,P055,1
2025-03-24,P085,1
2025-03-25,P024,1
2025-03-25,P032,1
2025-03-25,P056,1
2025-03-25,P087,1
2025-03-26,P003,1
2025-03-26,P057,1
2025-03-27,P038,1
2025-03-27,P058,1
2025-03-28,P038,1
2025-03-28,P055,1
2025-03-28,P057,1
2025-03-28,P058,1
2025-03-28,P078,1
2025-03-29,P003,1
2025-03-29,P025,1
2025-03-29,P056,1
2025-03-29,P085,1
2025-03-30,P024,1
2025-03-30,P056,1
2025-03-30,P086,1
2025-03-31,P038,1
2025-03-31,P076,2
2025-04-01,P003,1
2025-04-01,P014,1
2025-04-01,P018,1
2025-04-01,P031,1
2025-04-01,P078,2
2025-04-01,P084,1
2025-04-01,P093,1
2025-04-02,P018,1
2025-04-02,P085,1
2025-04-03,P018,3
2025-04-03,P025,1
2025-04-03,P032,2
2025-04-03,P057,2
2025-04-03,P078,1
2025-04-03,P086,1
2025-04-04,P018,1
2025-04-04,P071,1
2025-04-04,P084,1
2025-04-06,P015,3
2025-04-06,P044,1
2025-04-06,P066,1
2025-04-06,P071,1
2025-04-07,P015,1
2025-04-07,P018,1
2025-04-07,P055,1
2025-04-07,P071,1
2025-04-07,P078,1
2025-04-08,P018,1
2025-04-08,P038,1
2025-04-08,P068,1
2025-04-08,P078,1
2025-04-08,P085,1
2025-04-09,P024,2
2025-04-09,P076,1
2025-04-09,P087,1
2025-04-10,P024,1
2025-04-10,P055,1
2025-04-10,P057,1
2025-04-10,P066,1
2025-04-10,P076,1
2025-04-11,P014,1
2025-04-11,P033,1
2025-04-11,P066,2
2025-04-11,P071,1
2025-04-11,P076,2
2025-04-11,P078,1
2025-04-11,P085,1
2025-04-11,P086,1
2025-04-12,P044,1
2025-04-12,P057,1
2025-04-12,P068,2
2025-04-13,P003,2
2025-04-13,P032,1
2025-04-13,P038,1
2025-04-13,P044,1
2025-04-13,P084,2
2025-04-14,P031,1
2025-04-14,P032,1
2025-04-14,P033,1
2025-04-14,P044,1
2025-04-14,P056,1
2025-04-14,P057,1
2025-04-15,P018,1
2025-04-15,P031,1
2025-04-15,P032,1
2025-04-15,P038,1
2025-04-15,P055,1
2025-04-15,P056,1
2025-04-15,P085,1
2025-04-15,P086,1
2025-04-16,P024,1
2025-04-16,P025,1
2025-04-16,P032,1
2025-04-16,P058,1
2025-04-16,P068,1
2025-04-16,P087,1
2025-04-17,P003,1
2025-04-17,P025,1
2025-04-17,P031,1
2025-04-17,P032,1
2025-04-17,P056,1
2025-04-17,P058,1
2025-04-17,P078,1
2025-04-17,P084,1
2025-04-17,P087,1
2025-04-17,P093,1
2025-04-18,P003,1
2025-04-18,P011,1
2025-04-18,P018,1
2025-04-18,P031,1
2025-04-18,P038,2
2025-04-18,P044,1
2025-04-18,P058,1
2025-04-18,P073,3
2025-04-18,P085,1
2025-04-19,P015,1
2025-04-19,P024,1
2025-04-19,P025,1
2025-04-19,P031,1
2025-04-19,P071,1
2025-04-19,P084,1
2025-04-19,P085,1
2025-04-19,P087,1
2025-04-20,P015,3
2025-04-20,P018,1
2025-04-20,P032,1
2025-04-20,P068,1
2025-04-20,P078,1
2025-04-20,P084,1
2025-04-21,P015,1
2025-04-21,P024,1
2025-04-21,P025,1
2025-04-21,P031,1
2025-04-21,P039,1
2025-04-21,P071,1
2025-04-21,P073,1
2025-04-21,P078,1
2025-04-22,P018,1
2025-04-22,P031,1
2025-04-22,P084,1
2025-04-23,P024,1
2025-04-23,P039,1
2025-04-23,P055,1
2025-04-23,P056,1
2025-04-23,P071,1
2025-04-23,P073,1
2025-04-23,P078,2
2025-04-23,P093,1
2025-04-24,P073,1
2025-04-25,P068,1
2025-04-25,P073,1
2025-04-25,P085,1
2025-04-26,P011,1
2025-04-26,P039,1
2025-04-26,P066,1
2025-04-26,P071,1
2025-04-27,P003,1
2025-04-27,P015,1
2025-04-27,P031,1
2025-04-27,P039,2
2025-04-27,P056,1
2025-04-27,P057,1
2025-04-27,P066,1
2025-04-27,P073,1
2025-04-27,P085,1
2025-04-28,P003,1
2025-04-28,P007,1
2025-04-28,P011,1
2025-04-28,P066,2
2025-04-28,P085,1
2025-04-28,P086,1
2025-04-28,P087,1
2025-04-29,P033,1
2025-04-29,P039,1
2025-04-29,P071,2
2025-04-29,P085,1
2025-04-30,P007,1
2025-04-30,P032,1
2025-04-30,P055,1
2025-04-30,P056,1
2025-04-30,P057,2
2025-04-30,P072,1
2025-04-30,P084,1
2025-05-01,P011,1
2025-05-01,P033,1
2025-05-01,P044,1
2025-05-01,P056,1
2025-05-01,P058,2
2025-05-01,P066,1
2025-05-01,P085,1
2025-05-02,P014,1
2025-05-02,P015,1
2025-05-02,P018,1
